1000,1.0,0.49
2000,0.995,0.37
5000,1.0,0.47
10000,1.0,0.66
20000,0.995,0.78
50000,0.91,0.79
100000,0.88,0.75
200000,0.8,0.74
400000,0.81,0.79
800000,0.855,0.81
